name,vintage,notes,liters,price_per_750,rater,rating,type,varietal,country,subregion,origin,nameyear
Kendall-Jackson Vintner's Reserve Chardonnay,2018,,0.75,14.99,Wine Enthusiast,90,White Wine,Chardonnay,USA,California,California,Kendall-Jackson Vintner's Reserve Chardonnay 2018
Kendall-Jackson Vintner's Reserve Chardonnay,2018,,0.75,14.99,Vinous,90,White Wine,Chardonnay,USA,California,California,Kendall-Jackson Vintner's Reserve Chardonnay 2018
Kim Crawford Sauvignon Blanc,2019,,0.75,15.99,Tasting Panel,91,White Wine,Sauvignon Blanc,New Zealand,Marlborough,"Marlborough, New Zealand",Kim Crawford Sauvignon Blanc 2019
Kim Crawford Sauvignon Blanc,2019,,0.75,15.99,Wine Enthusiast,90,White Wine,Sauvignon Blanc,New Zealand,Marlborough,"Marlborough, New Zealand",Kim Crawford Sauvignon Blanc 2019
Kim Crawford Sauvignon Blanc,2019,,0.75,15.99,Wine Spectator,89,White Wine,Sauvignon Blanc,New Zealand,Marlborough,"Marlborough, New Zealand",Kim Crawford Sauvignon Blanc 2019
Dom Perignon Lenny Kravitz Limited Edition with Gift Box,2008,,0.75,199.97,wine.com,99,Sparkling & Champagne,Vintage Sparkling Wine,France,Champagne,"Champagne, France",Dom Perignon Lenny Kravitz Limited Edition with Gift Box 2008
Dom Perignon Lenny Kravitz Limited Edition with Gift Box,2008,,0.75,199.97,James Suckling,98,Sparkling & Champagne,Vintage Sparkling Wine,France,Champagne,"Champagne, France",Dom Perignon Lenny Kravitz Limited Edition with Gift Box 2008
Dom Perignon Lenny Kravitz Limited Edition with Gift Box,2008,,0.75,199.97,Jeb Dunnuck,98,Sparkling & Champagne,Vintage Sparkling Wine,France,Champagne,"Champagne, France",Dom Perignon Lenny Kravitz Limited Edition with Gift Box 2008
Dom Perignon Lenny Kravitz Limited Edition with Gift Box,2008,,0.75,199.97,Wine Spectator,96,Sparkling & Champagne,Vintage Sparkling Wine,France,Champagne,"Champagne, France",Dom Perignon Lenny Kravitz Limited Edition with Gift Box 2008
Dom Perignon Lenny Kravitz Limited Edition with Gift Box,2008,,0.75,199.97,Decanter,96,Sparkling & Champagne,Vintage Sparkling Wine,France,Champagne,"Champagne, France",Dom Perignon Lenny Kravitz Limited Edition with Gift Box 2008
Dom Perignon Lenny Kravitz Limited Edition with Gift Box,2008,,0.75,199.97,Robert Parker,96,Sparkling & Champagne,Vintage Sparkling Wine,France,Champagne,"Champagne, France",Dom Perignon Lenny Kravitz Limited Edition with Gift Box 2008
Decoy Sonoma Cabernet Sauvignon,2017,,0.75,19.99,Wine Enthusiast,90,Red Wine,Cabernet Sauvignon,USA,California,"Sonoma County, California",Decoy Sonoma Cabernet Sauvignon 2017
Laurent-Perrier Cuvee Rose,0,,0.75,79.99,Conn Guide,96,Sparkling & Champagne,Rosé Sparkling Wine,France,Champagne,"Champagne, France",Laurent-Perrier Cuvee Rose NV
Laurent-Perrier Cuvee Rose,0,,0.75,79.99,Tasting Panel,93,Sparkling & Champagne,Rosé Sparkling Wine,France,Champagne,"Champagne, France",Laurent-Perrier Cuvee Rose NV
Laurent-Perrier Cuvee Rose,0,,0.75,79.99,Wine Spectator,93,Sparkling & Champagne,Rosé Sparkling Wine,France,Champagne,"Champagne, France",Laurent-Perrier Cuvee Rose NV
Laurent-Perrier Cuvee Rose,0,,0.75,79.99,Wine & Spirits,92,Sparkling & Champagne,Rosé Sparkling Wine,France,Champagne,"Champagne, France",Laurent-Perrier Cuvee Rose NV
Laurent-Perrier Cuvee Rose,0,,0.75,79.99,James Suckling,92,Sparkling & Champagne,Rosé Sparkling Wine,France,Champagne,"Champagne, France",Laurent-Perrier Cuvee Rose NV
Laurent-Perrier Cuvee Rose,0,,0.75,79.99,Wine Enthusiast,91,Sparkling & Champagne,Rosé Sparkling Wine,France,Champagne,"Champagne, France",Laurent-Perrier Cuvee Rose NV
Lanson Black Label Brut in Music Box,0,,0.75,49.97,Wine Spectator,91,Sparkling & Champagne,Non-Vintage Sparkling Wine,France,Champagne,"Champagne, France",Lanson Black Label Brut in Music Box NV
Lanson Black Label Brut in Music Box,0,,0.75,49.97,Wine Enthusiast,90,Sparkling & Champagne,Non-Vintage Sparkling Wine,France,Champagne,"Champagne, France",Lanson Black Label Brut in Music Box NV
La Crema Sonoma Coast Chardonnay,2018,,0.75,18.99,wine.com,89,White Wine,Chardonnay,USA,California,"Sonoma Coast, Sonoma County, California",La Crema Sonoma Coast Chardonnay 2018
Alamos Malbec,2018,,0.75,11.99,James Suckling,91,Red Wine,Malbec,Argentina,Mendoza,"Mendoza, Argentina",Alamos Malbec 2018
Alamos Malbec,2018,,0.75,11.99,Robert Parker,90,Red Wine,Malbec,Argentina,Mendoza,"Mendoza, Argentina",Alamos Malbec 2018
J. Lohr Seven Oaks Cabernet Sauvignon,2017,,0.75,17.99,Wine Enthusiast,90,Red Wine,Cabernet Sauvignon,USA,California,"Paso Robles, Central Coast, California",J. Lohr Seven Oaks Cabernet Sauvignon 2017
Oyster Bay Marlborough Sauvignon Blanc,2019,,0.75,12.99,James Suckling,90,White Wine,Sauvignon Blanc,New Zealand,Marlborough,"Marlborough, New Zealand",Oyster Bay Marlborough Sauvignon Blanc 2019
Oyster Bay Marlborough Sauvignon Blanc,2019,,0.75,12.99,wine.com,89,White Wine,Sauvignon Blanc,New Zealand,Marlborough,"Marlborough, New Zealand",Oyster Bay Marlborough Sauvignon Blanc 2019
Stags' Leap Winery Napa Valley Cabernet Sauvignon,2016,,0.75,49.99,Robert Parker,94,Red Wine,Cabernet Sauvignon,USA,California,"Napa Valley, California",Stags' Leap Winery Napa Valley Cabernet Sauvignon 2016
