name,origin,price,rating,type,varietal
Laurent-Perrier Cuvee Rose,"Champagne, France",79.99,Connoisseurs' Guide 96 point rating,Sparkling & Champagne,Rosé Sparkling Wine
Laurent-Perrier Cuvee Rose,"Champagne, France",79.99,Tasting Panel 93 point rating,Sparkling & Champagne,Rosé Sparkling Wine
Laurent-Perrier Cuvee Rose,"Champagne, France",79.99,Wine Spectator 93 point rating,Sparkling & Champagne,Rosé Sparkling Wine
Laurent-Perrier Cuvee Rose,"Champagne, France",79.99,Wine & Spirits 92 point rating,Sparkling & Champagne,Rosé Sparkling Wine
Laurent-Perrier Cuvee Rose,"Champagne, France",79.99,James Suckling 92 point rating,Sparkling & Champagne,Rosé Sparkling Wine
Laurent-Perrier Cuvee Rose,"Champagne, France",79.99,Wine Enthusiast 91 point rating,Sparkling & Champagne,Rosé Sparkling Wine
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",49.99,Robert Parker's Wine Advocate 94 point rating,Red Wine,Cabernet Sauvignon
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",49.99,James Suckling 93 point rating,Red Wine,Cabernet Sauvignon
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",49.99,Tasting Panel 92 point rating,Red Wine,Cabernet Sauvignon
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",49.99,Jeb Dunnuck 91 point rating,Red Wine,Cabernet Sauvignon
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",49.99,Wine & Spirits 90 point rating,Red Wine,Cabernet Sauvignon
Tenuta di Nozzole Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",22.99,James Suckling 94 point rating,Red Wine,Sangiovese
Tenuta di Nozzole Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",22.99,Robert Parker's Wine Advocate 92 point rating,Red Wine,Sangiovese
Tenuta di Nozzole Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",22.99,Wine Spectator 92 point rating,Red Wine,Sangiovese
Mazzei Chianti Classico Riserva Ser Lapo 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Decanter 97 point rating,Red Wine,Sangiovese
Mazzei Chianti Classico Riserva Ser Lapo 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,James Suckling 95 point rating,Red Wine,Sangiovese
Mazzei Chianti Classico Riserva Ser Lapo 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Wine Spectator 94 point rating,Red Wine,Sangiovese
Mazzei Chianti Classico Riserva Ser Lapo 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Robert Parker's Wine Advocate 92 point rating,Red Wine,Sangiovese
Mazzei Chianti Classico Riserva Ser Lapo 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Wine & Spirits 91 point rating,Red Wine,Sangiovese
Martin Ray Sonoma Coast Pinot Noir 2018,"Sonoma Coast, Sonoma County, California",19.99,James Suckling 94 point rating,Red Wine,Pinot Noir
Raymond Reserve Selection Cabernet Sauvignon 2017,"Napa Valley, California",39.99,James Suckling 97 point rating,Red Wine,Cabernet Sauvignon
